"carat","price","carat_sq"
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.3,0.943,0.09
0.3,0.943,0.09
0.3,0.943,0.09
0.32,0.944,0.1024
0.3,0.947,0.09
0.3,0.947,0.09
0.32,0.949,0.1024
0.32,0.949,0.1024
0.33,0.957,0.1089
0.33,0.957,0.1089
0.3,0.957,0.09
0.3,0.957,0.09
0.3,0.957,0.09
0.3,0.957,0.09
0.32,0.958,0.1024
0.31,0.958,0.0961
0.33,0.971,0.1089
0.33,0.971,0.1089
0.33,0.978,0.1089
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.32,0.984,0.1024
0.34,0.985,0.1156
0.31,0.987,0.0961
0.31,0.987,0.0961
0.31,0.987,0.0961
0.32,0.99,0.1024
0.34,0.999,0.1156
0.31,1.002,0.0961
0.32,1.004,0.1024
0.32,1.01,0.1024
0.3,1.013,0.09
0.3,1.013,0.09
0.3,1.013,0.09
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.33,1.028,0.1089
0.35,1.035,0.1225
0.33,1.042,0.1089
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.051,0.0961
0.36,1.056,0.1296
0.31,1.06,0.0961
0.31,1.061,0.0961
0.31,1.061,0.0961
0.36,1.063,0.1296
0.36,1.063,0.1296
0.35,1.073,0.1225
0.34,1.074,0.1156
0.33,1.079,0.1089
0.32,1.08,0.1024
0.37,1.092,0.1369
0.32,1.095,0.1024
0.32,1.095,0.1024
0.33,1.114,0.1089
0.3,1.12,0.09
0.31,1.122,0.0961
0.31,1.122,0.0961
0.33,1.129,0.1089
0.3,1.131,0.09
0.31,1.133,0.0961
0.36,1.137,0.1296
0.36,1.138,0.1296
0.34,1.148,0.1156
0.41,1.151,0.1681
0.31,1.155,0.0961
0.34,1.163,0.1156
0.34,1.163,0.1156
0.34,1.163,0.1156
0.31,1.168,0.0961
0.31,1.168,0.0961
0.31,1.168,0.0961
0.31,1.168,0.0961
0.32,1.17,0.1024
0.32,1.17,0.1024
0.31,1.188,0.0961
0.38,1.193,0.1444
0.35,1.197,0.1225
0.35,1.197,0.1225
0.32,1.204,0.1024
0.32,1.204,0.1024
0.33,1.207,0.1089
0.36,1.21,0.1296
0.38,1.212,0.1444
0.38,1.212,0.1444
0.38,1.212,0.1444
0.31,1.214,0.0961
0.31,1.214,0.0961
0.31,1.214,0.0961
0.31,1.214,0.0961
0.36,1.215,0.1296
0.38,1.218,0.1444
0.38,1.229,0.1444
0.31,1.239,0.0961
0.33,1.24,0.1089
0.33,1.24,0.1089
0.33,1.24,0.1089
0.33,1.24,0.1089
0.34,1.243,0.1156
0.34,1.243,0.1156
0.34,1.243,0.1156
0.39,1.248,0.1521
0.31,1.251,0.0961
0.35,1.254,0.1225
0.35,1.254,0.1225
0.4,1.261,0.16
0.34,1.276,0.1156
0.34,1.276,0.1156
0.34,1.276,0.1156
0.34,1.276,0.1156
0.33,1.289,0.1089
0.4,1.292,0.16
0.32,1.3,0.1024
0.38,1.3,0.1444
0.41,1.304,0.1681
0.31,1.31,0.0961
0.35,1.312,0.1225
0.31,1.319,0.0961
0.38,1.333,0.1444
0.39,1.333,0.1521
0.39,1.333,0.1521
0.32,1.359,0.1024
0.39,1.368,0.1521
0.39,1.377,0.1521
0.33,1.389,0.1089
0.38,1.397,0.1444
0.38,1.402,0.1444
0.38,1.402,0.1444
0.4,1.406,0.16
0.39,1.418,0.1521
0.41,1.419,0.1681
0.38,1.433,0.1444
0.38,1.433,0.1444
0.38,1.433,0.1444
0.39,1.433,0.1521
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.43,1.58,0.1849
0.43,1.58,0.1849
0.43,1.58,0.1849
0.4,1.583,0.16
0.41,1.621,0.1681
0.31,1.818,0.0961
0.31,1.917,0.0961
0.46,1.95,0.2116
0.48,2.059,0.2304
0.48,2.154,0.2304
0.34,2.287,0.1156
0.34,2.287,0.1156
0.34,2.346,0.1156
0.34,2.346,0.1156
0.52,2.393,0.2704
0.5,2.419,0.25
0.52,2.427,0.2704
0.53,2.447,0.2809
0.52,2.504,0.2704
0.51,2.524,0.2601
0.5,2.529,0.25
0.52,2.575,0.2704
0.52,2.598,0.2704
0.5,2.645,0.25
0.57,2.656,0.3249
0.53,2.658,0.2809
0.53,2.682,0.2809
0.54,2.729,0.2916
0.51,2.73,0.2601
0.52,2.733,0.2704
0.52,2.749,0.2704
